Serial_number:,,,,
1024481,,,,
Project ID:,,,,
CWS_2014,,,,
Location:,,,,
NFY,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Altitude: 715.000000 m,,,,
Density: 1.000000 kg/L,,,,
Temperature,,,,
UNIT: Deg C,,,,
Date,Time,ms,Level,Temperature
8/19/14,10:30:00,0,0.9979,18.331
8/19/14,10:45:00,0,0.9932,18.342
8/19/14,11:00:00,0,0.9926,18.381
8/19/14,11:15:00,0,0.9913,18.422
8/19/14,11:30:00,0,0.992,18.457
8/19/14,11:45:00,0,0.9897,18.495
8/19/14,12:00:00,0,0.9871,18.531
8/19/14,12:15:00,0,0.9882,18.573
8/19/14,12:30:00,0,0.9854,18.624
8/19/14,12:45:00,0,0.9855,18.681
8/19/14,13:00:00,0,0.9858,18.748
8/19/14,13:15:00,0,0.9825,18.823
8/19/14,13:30:00,0,0.9795,18.906
8/19/14,13:45:00,0,0.982,18.997
8/19/14,14:00:00,0,0.9793,19.093
8/19/14,14:15:00,0,0.9795,19.193
8/19/14,14:30:00,0,0.9801,19.299
8/19/14,14:45:00,0,0.9818,19.404
8/19/14,15:00:00,0,0.9767,19.511
8/19/14,15:15:00,0,0.9748,19.619
8/19/14,15:30:00,0,0.9738,19.732
8/19/14,15:45:00,0,0.9731,19.846
8/19/14,16:00:00,0,0.9759,19.963
8/19/14,16:15:00,0,0.9729,20.078
8/19/14,16:30:00,0,0.9723,20.188
8/19/14,16:45:00,0,0.9737,20.294
8/19/14,17:00:00,0,0.9738,20.389
8/19/14,17:15:00,0,0.9745,20.468
8/19/14,17:30:00,0,0.9717,20.527
8/19/14,17:45:00,0,0.9718,20.576
8/19/14,18:00:00,0,0.9765,20.625
8/19/14,18:15:00,0,0.9712,20.668
8/19/14,18:30:00,0,0.975,20.706
8/19/14,18:45:00,0,0.9701,20.735
8/19/14,19:00:00,0,0.9705,20.75
8/19/14,19:15:00,0,0.9754,20.752
8/19/14,19:30:00,0,0.9772,20.742
8/19/14,19:45:00,0,0.9807,20.729
8/19/14,20:00:00,0,0.9844,20.708
8/19/14,20:15:00,0,0.9824,20.685
8/19/14,20:30:00,0,0.9865,20.657
8/19/14,20:45:00,0,0.9888,20.627
8/19/14,21:00:00,0,0.9912,20.596
8/19/14,21:15:00,0,0.994,20.561
8/19/14,21:30:00,0,0.9933,20.526
8/19/14,21:45:00,0,0.995,20.489
8/19/14,22:00:00,0,0.9964,20.453
8/19/14,22:15:00,0,0.992,20.413
8/19/14,22:30:00,0,0.9996,20.379
8/19/14,22:45:00,0,0.9967,20.341
8/19/14,23:00:00,0,0.9971,20.309
8/19/14,23:15:00,0,0.9978,20.277
8/19/14,23:30:00,0,0.9986,20.246
8/19/14,23:45:00,0,0.9985,20.217
8/20/14,0:00:00,0,1.0005,20.188
8/20/14,0:15:00,0,0.9988,20.16
8/20/14,0:30:00,0,0.9993,20.132
8/20/14,0:45:00,0,1.0018,20.102
8/20/14,1:00:00,0,0.9987,20.071
8/20/14,1:15:00,0,0.9953,20.038
8/20/14,1:30:00,0,0.9978,20.005
8/20/14,1:45:00,0,1.004,19.97
8/20/14,2:00:00,0,1.0006,19.933
8/20/14,2:15:00,0,1.0026,19.892
8/20/14,2:30:00,0,1.0003,19.851
8/20/14,2:45:00,0,1.001,19.809
8/20/14,3:00:00,0,1.0023,19.767
8/20/14,3:15:00,0,1.0028,19.723
8/20/14,3:30:00,0,1.0023,19.678
8/20/14,3:45:00,0,1.0035,19.633
8/20/14,4:00:00,0,1.0008,19.589
8/20/14,4:15:00,0,1.0004,19.544
8/20/14,4:30:00,0,1.0012,19.497
8/20/14,4:45:00,0,1.0013,19.449
8/20/14,5:00:00,0,0.9993,19.404
8/20/14,5:15:00,0,0.9981,19.357
8/20/14,5:30:00,0,1.0012,19.309
8/20/14,5:45:00,0,1.0037,19.26
8/20/14,6:00:00,0,1.0019,19.212
8/20/14,6:15:00,0,1.0048,19.166
8/20/14,6:30:00,0,1.005,19.116
8/20/14,6:45:00,0,1.0059,19.07
8/20/14,7:00:00,0,1.0055,19.022
8/20/14,7:15:00,0,1.0057,18.974
8/20/14,7:30:00,0,1.0066,18.929
8/20/14,7:45:00,0,1.0038,18.883
8/20/14,8:00:00,0,1.0062,18.839
8/20/14,8:15:00,0,1.0049,18.796
8/20/14,8:30:00,0,1.0046,18.757
8/20/14,8:45:00,0,1.0073,18.721
8/20/14,9:00:00,0,1.0062,18.686
8/20/14,9:15:00,0,1.0029,18.658
8/20/14,9:30:00,0,1.005,18.63
8/20/14,9:45:00,0,1.0065,18.609
8/20/14,10:00:00,0,1.0038,18.59
8/20/14,10:15:00,0,1.0073,18.576
8/20/14,10:30:00,0,1.0054,18.567
8/20/14,10:45:00,0,1.0058,18.562
8/20/14,11:00:00,0,1.0091,18.565
8/20/14,11:15:00,0,1.0093,18.572
8/20/14,11:30:00,0,1.0078,18.585
8/20/14,11:45:00,0,1.0061,18.603
8/20/14,12:00:00,0,1.0045,18.628
8/20/14,12:15:00,0,1.0025,18.658
8/20/14,12:30:00,0,1.0019,18.697
8/20/14,12:45:00,0,0.9996,18.745
8/20/14,13:00:00,0,1.0019,18.802
8/20/14,13:15:00,0,1.003,18.868
8/20/14,13:30:00,0,1.006,18.942
8/20/14,13:45:00,0,1.0044,19.026
8/20/14,14:00:00,0,1.0086,19.114
8/20/14,14:15:00,0,1.0042,19.207
8/20/14,14:30:00,0,1.0031,19.306
8/20/14,14:45:00,0,1.005,19.41
8/20/14,15:00:00,0,1.0015,19.515
8/20/14,15:15:00,0,1.0017,19.622
8/20/14,15:30:00,0,1.0003,19.734
8/20/14,15:45:00,0,0.9982,19.85
8/20/14,16:00:00,0,1.0004,19.969
8/20/14,16:15:00,0,1.0016,20.086
8/20/14,16:30:00,0,0.9996,20.198
8/20/14,16:45:00,0,1.0003,20.303
8/20/14,17:00:00,0,1.0039,20.401
8/20/14,17:15:00,0,0.9996,20.493
8/20/14,17:30:00,0,1.0028,20.573
8/20/14,17:45:00,0,1.0043,20.643
8/20/14,18:00:00,0,1.0033,20.702
8/20/14,18:15:00,0,1.0067,20.752
8/20/14,18:30:00,0,1.0015,20.792
8/20/14,18:45:00,0,1.0027,20.82
8/20/14,19:00:00,0,1.0058,20.835
8/20/14,19:15:00,0,1.0056,20.836
8/20/14,19:30:00,0,1.0096,20.826
8/20/14,19:45:00,0,1.0087,20.807
8/20/14,20:00:00,0,1.0129,20.785
8/20/14,20:15:00,0,1.0135,20.758
8/20/14,20:30:00,0,1.0167,20.729
8/20/14,20:45:00,0,1.018,20.697
8/20/14,21:00:00,0,1.0218,20.663
8/20/14,21:15:00,0,1.0199,20.627
8/20/14,21:30:00,0,1.0237,20.589
8/20/14,21:45:00,0,1.0212,20.55
8/20/14,22:00:00,0,1.0231,20.511
8/20/14,22:15:00,0,1.0239,20.471
8/20/14,22:30:00,0,1.0214,20.433
8/20/14,22:45:00,0,1.0247,20.396
8/20/14,23:00:00,0,1.0251,20.359
8/20/14,23:15:00,0,1.0213,20.325
8/20/14,23:30:00,0,1.0246,20.292
8/20/14,23:45:00,0,1.0282,20.263
8/21/14,0:00:00,0,1.0297,20.232
8/21/14,0:15:00,0,1.0257,20.203
8/21/14,0:30:00,0,1.025,20.171
8/21/14,0:45:00,0,1.0263,20.14
8/21/14,1:00:00,0,1.026,20.108
8/21/14,1:15:00,0,1.0283,20.071
8/21/14,1:30:00,0,1.028,20.038
8/21/14,1:45:00,0,1.0285,19.998
8/21/14,2:00:00,0,1.0279,19.96
8/21/14,2:15:00,0,1.0257,19.917
8/21/14,2:30:00,0,1.0257,19.875
8/21/14,2:45:00,0,1.0248,19.832
8/21/14,3:00:00,0,1.0254,19.787
8/21/14,3:15:00,0,1.0282,19.742
8/21/14,3:30:00,0,1.0255,19.697
8/21/14,3:45:00,0,1.0273,19.651
8/21/14,4:00:00,0,1.0272,19.604
8/21/14,4:15:00,0,1.0249,19.556
8/21/14,4:30:00,0,1.0272,19.508
8/21/14,4:45:00,0,1.0254,19.459
8/21/14,5:00:00,0,1.0239,19.408
8/21/14,5:15:00,0,1.0237,19.358
8/21/14,5:30:00,0,1.0241,19.308
8/21/14,5:45:00,0,1.0256,19.257
8/21/14,6:00:00,0,1.0231,19.208
8/21/14,6:15:00,0,1.0286,19.156
8/21/14,6:30:00,0,1.0314,19.106
8/21/14,6:45:00,0,1.0298,19.057
8/21/14,7:00:00,0,1.0304,19.008
8/21/14,7:15:00,0,1.0298,18.962
8/21/14,7:30:00,0,1.0355,18.915
8/21/14,7:45:00,0,1.0322,18.868
8/21/14,8:00:00,0,1.0316,18.823
8/21/14,8:15:00,0,1.0348,18.778
8/21/14,8:30:00,0,1.0338,18.737
8/21/14,8:45:00,0,1.0313,18.699
8/21/14,9:00:00,0,1.0339,18.662
8/21/14,9:15:00,0,1.0336,18.632
8/21/14,9:30:00,0,1.0323,18.606
8/21/14,9:45:00,0,1.0334,18.581
8/21/14,10:00:00,0,1.0305,18.561
8/21/14,10:15:00,0,1.0324,18.548
8/21/14,10:30:00,0,1.0317,18.536
8/21/14,10:45:00,0,1.0289,18.533
8/21/14,11:00:00,0,1.029,18.534
8/21/14,11:15:00,0,1.0284,18.542
8/21/14,11:30:00,0,1.0265,18.555
8/21/14,11:45:00,0,1.0256,18.575
8/21/14,12:00:00,0,1.0244,18.602
8/21/14,12:15:00,0,1.0263,18.633
8/21/14,12:30:00,0,1.0249,18.674
8/21/14,12:45:00,0,1.023,18.726
8/21/14,13:00:00,0,1.0257,18.788
8/21/14,13:15:00,0,1.0272,18.857
8/21/14,13:30:00,0,1.029,18.938
8/21/14,13:45:00,0,1.0238,19.025
8/21/14,14:00:00,0,1.0242,19.12
8/21/14,14:15:00,0,1.0266,19.22
8/21/14,14:30:00,0,1.024,19.324
8/21/14,14:45:00,0,1.0229,19.433
8/21/14,15:00:00,0,1.0229,19.542
8/21/14,15:15:00,0,1.0245,19.653
8/21/14,15:30:00,0,1.0225,19.77
8/21/14,15:45:00,0,1.0216,19.89
8/21/14,16:00:00,0,1.0219,20.011
8/21/14,16:15:00,0,1.0183,20.13
8/21/14,16:30:00,0,1.0236,20.246
8/21/14,16:45:00,0,1.0195,20.353
8/21/14,17:00:00,0,1.0207,20.455
8/21/14,17:15:00,0,1.0211,20.545
8/21/14,17:30:00,0,1.0184,20.627
8/21/14,17:45:00,0,1.0202,20.699
8/21/14,18:00:00,0,1.0207,20.762
8/21/14,18:15:00,0,1.0207,20.815
8/21/14,18:30:00,0,1.018,20.856
8/21/14,18:45:00,0,1.021,20.884
8/21/14,19:00:00,0,1.0176,20.899
8/21/14,19:15:00,0,1.0246,20.897
8/21/14,19:30:00,0,1.023,20.888
8/21/14,19:45:00,0,1.0249,20.872
8/21/14,20:00:00,0,1.0265,20.853
8/21/14,20:15:00,0,1.0296,20.828
8/21/14,20:30:00,0,1.0291,20.801
8/21/14,20:45:00,0,1.0274,20.77
8/21/14,21:00:00,0,1.03,20.737
8/21/14,21:15:00,0,1.0315,20.704
8/21/14,21:30:00,0,1.0316,20.667
8/21/14,21:45:00,0,1.0291,20.63
8/21/14,22:00:00,0,1.0313,20.594
8/21/14,22:15:00,0,1.0304,20.558
8/21/14,22:30:00,0,1.0301,20.522
8/21/14,22:45:00,0,1.0289,20.487
8/21/14,23:00:00,0,1.029,20.455
8/21/14,23:15:00,0,1.0327,20.425
8/21/14,23:30:00,0,1.0285,20.395
8/21/14,23:45:00,0,1.0328,20.367
8/22/14,0:00:00,0,1.0282,20.339
8/22/14,0:15:00,0,1.029,20.31
8/22/14,0:30:00,0,1.0273,20.283
8/22/14,0:45:00,0,1.0265,20.254
8/22/14,1:00:00,0,1.0275,20.223
8/22/14,1:15:00,0,1.0246,20.192
8/22/14,1:30:00,0,1.024,20.157
8/22/14,1:45:00,0,1.0254,20.12
8/22/14,2:00:00,0,1.026,20.082
8/22/14,2:15:00,0,1.0248,20.042
8/22/14,2:30:00,0,1.0272,19.999
8/22/14,2:45:00,0,1.0236,19.956
8/22/14,3:00:00,0,1.0247,19.912
8/22/14,3:15:00,0,1.0264,19.867
8/22/14,3:30:00,0,1.0211,19.821
8/22/14,3:45:00,0,1.0267,19.774
8/22/14,4:00:00,0,1.0231,19.727
8/22/14,4:15:00,0,1.0216,19.68
8/22/14,4:30:00,0,1.0218,19.63
8/22/14,4:45:00,0,1.0189,19.581
8/22/14,5:00:00,0,1.0216,19.531
8/22/14,5:15:00,0,1.0202,19.481
8/22/14,5:30:00,0,1.0219,19.431
8/22/14,5:45:00,0,1.025,19.383
8/22/14,6:00:00,0,1.0258,19.332
8/22/14,6:15:00,0,1.0252,19.282
8/22/14,6:30:00,0,1.0275,19.233
8/22/14,6:45:00,0,1.0237,19.183
8/22/14,7:00:00,0,1.0258,19.134
8/22/14,7:15:00,0,1.0277,19.085
8/22/14,7:30:00,0,1.026,19.035
8/22/14,7:45:00,0,1.0284,18.987
8/22/14,8:00:00,0,1.0273,18.94
8/22/14,8:15:00,0,1.0234,18.894
8/22/14,8:30:00,0,1.0211,18.85
8/22/14,8:45:00,0,1.0206,18.81
8/22/14,9:00:00,0,1.0232,18.774
8/22/14,9:15:00,0,1.0221,18.741
8/22/14,9:30:00,0,1.0209,18.713
8/22/14,9:45:00,0,1.0193,18.688
8/22/14,10:00:00,0,1.0163,18.67
8/22/14,10:15:00,0,1.0143,18.653
8/22/14,10:30:00,0,1.0146,18.645
8/22/14,10:45:00,0,1.0129,18.639
8/22/14,11:00:00,0,1.0115,18.639
8/22/14,11:15:00,0,1.0108,18.644
8/22/14,11:30:00,0,1.0137,18.656
8/22/14,11:45:00,0,1.0136,18.673
8/22/14,12:00:00,0,1.0137,18.696
8/22/14,12:15:00,0,1.0093,18.728
8/22/14,12:30:00,0,1.0083,18.768
8/22/14,12:45:00,0,1.0087,18.817
8/22/14,13:00:00,0,1.0085,18.876
8/22/14,13:15:00,0,1.0077,18.942
8/22/14,13:30:00,0,1.0045,19.017
8/22/14,13:45:00,0,1.0051,19.101
8/22/14,14:00:00,0,1.0035,19.19
